Order_ID,Material_ID,Item_ID,Source,Destination,Available_Time,Deadline,Danger_Type,Area,Weight
A140109,B-6128,P01-79c46a02-e12f-41c4-9ec9-25e48597ebfe,City_61,City_54,2022-04-05 23:59:59,2022-04-11 23:59:59,type_1,38880,30920000
A140112,B-6128,P01-84ac394c-9f34-48e7-bd15-76f92120b624,City_61,City_54,2022-04-07 23:59:59,2022-04-13 23:59:59,type_1,38880,30920000
A140112,B-6128,P01-b70c94db-630a-497b-bb63-b0ad86a7dce6,City_61,City_54,2022-04-07 23:59:59,2022-04-13 23:59:59,type_1,38880,30920000
A140112,B-6128,P01-4534a7e8-6d73-4a2e-8363-a6645d9bc345,City_61,City_54,2022-04-07 23:59:59,2022-04-13 23:59:59,type_1,38880,30920000
A140112,B-6128,P01-7208eb61-2cc1-4e7c-b698-e1ab2327b658,City_61,City_54,2022-04-07 23:59:59,2022-04-13 23:59:59,type_1,38880,30920000
A190223,B-6155,nan-4ac2f30e-bc0a-4415-8612-a6b38d833317,City_61,City_53,2022-04-06 23:59:59,2022-04-12 23:59:59,type_2,9840,7640000
A190225,B-6155,nan-5ae70ea9-a28e-4107-b267-5a6c84d4a3c7,City_61,City_53,2022-04-05 23:59:59,2022-04-11 23:59:59,type_2,9840,7640000
A190226,B-6155,nan-c9658637-b5f1-433d-885e-b3008612a73d,City_61,City_53,2022-04-07 23:59:59,2022-04-13 23:59:59,type_2,9840,7640000
A190226,B-6155,nan-75768ff3-3dde-4952-9aa0-594c373421d1,City_61,City_53,2022-04-07 23:59:59,2022-04-13 23:59:59,type_2,9840,7640000
A190226,B-6155,nan-39cdd29b-baee-4ed6-bec0-33227cc8608d,City_61,City_53,2022-04-07 23:59:59,2022-04-13 23:59:59,type_2,9840,7640000